name,5_15_drySt-28F,1_11_drySt-28F,2_12_drySt-28F,3_13_drySt-28F,4_14_drySt-28F,7_22_drySt-28F,8_23_drySt-28F,9_24_drySt-28F
Tannerella,476,549,578,996,404,319,526,424
Lactococcus,326,2297,548,2378,471,882,1973,2308
Lactobacillus,94,434,719,322,205,644,2340,1000
Lactobacillus::Lactococcus,1,25,5,17,1,13,15,14
Parasutterella,1,1,4,2,0,0,12,1
Helicobacter,89,0,13,24,32,3,0,0
Prevotella,121,289,99,335,143,111,89,84
Bacteroides,273,958,377,526,200,86,424,202
Barnesiella,9,2,2,1,2,0,3,1
Odoribacter,1,22,7,2,4,6,35,8
Eubacterium,52,144,238,129,90,20,88,192
Allobaculum,0,0,271,21,3,0,1109,237
Roseburia,1,12,44,1,0,0,5,1
Clostridium,130,597,815,203,232,43,114,184
Porphyromonas,4,6,5,2,2,15,2,7
Butyrivibrio,32,136,357,89,45,2,26,179
Ruminococcus,3,25,34,20,60,1,9,1
Acholeplasma,0,1,2,2,2,0,0,0
Alistipes,13,84,160,28,13,11,19,27
Clostridium::Coprococcus,0,0,0,0,0,0,0,0
Eubacterium (Erysipelotrichaceae)::Eubacterium,0,1,2,0,0,0,2,0
Hydrogenoanaerobacterium,0,2,0,0,0,1,0,0
Paraprevotella,10,3,6,4,6,3,12,8
Blautia,5,6,9,0,3,0,35,1
Adlercreutzia::Asaccharobacter,0,0,6,0,0,0,1,1
Coprococcus,13,116,119,10,12,0,22,12
Parabacteroides,45,25,4,14,16,5,14,6
Eubacterium (Erysipelotrichaceae),0,2,1,4,2,0,20,1
Oscillibacter,1,3,10,1,1,0,0,0
Acinetobacter,25,0,0,0,0,0,0,0
Alkalitalea,0,2,6,0,0,0,46,1
Sporobacter,0,0,0,0,0,0,0,0
Oscillospira,0,7,10,4,4,3,1,1
Blautia::Clostridium,1,0,1,0,0,0,5,0
Planctomyces,0,0,0,2,0,0,0,0
Akkermansia,48,102,85,519,113,27,111,513
Ruminofilibacter,0,0,0,0,0,0,2,0
Pseudoflavonifractor,11,8,32,2,2,0,2,3
Butyricimonas,5,13,12,16,7,9,26,8
Desulfovibrio,3,0,2,0,0,0,0,0
Anaerotruncus,0,1,0,0,0,0,0,0
Alistipes::Bacteroides,5,46,179,28,4,0,3,4
Turicibacter,1,178,231,256,238,10,13,10
Mucispirillum,8,0,0,0,0,0,0,0
Lachnospira,0,1,0,0,1,0,1,0
Catabacter,0,0,0,0,0,0,0,0
Desulfosporosinus,0,0,0,0,0,0,0,0
Bacillus,7,20,1,0,0,20,24,6
Sporanaerobacter,0,1,1,0,1,0,12,0
Streptomyces,0,4,24,8,1,2,12,7
Butyrivibrio::Clostridium,4,0,0,1,0,1,2,0
Candidatus Arthromitus,3,0,0,2,0,3,29,4
Enterorhabdus,1,8,16,4,3,3,3,2
Kurthia,0,0,0,0,0,0,0,0
Eggerthella,5,3,5,1,0,1,1,0
Actinocorallia,0,0,0,0,0,0,0,0
Caldanaerocella,1,0,0,0,0,0,0,0
Dorea,0,0,2,0,0,1,0,0
Streptococcus,1,6,0,0,0,0,2,1
Adlercreutzia,0,3,1,0,0,0,2,0
Paraeggerthella,1,0,0,1,0,0,0,1
Lachnobacterium,0,0,0,0,0,0,1,0
TM7 (genus),0,0,2,0,0,0,0,0
Clostridium::Anaerostipes,1,0,0,0,0,0,0,0
Erysipelothrix,0,7,0,0,0,3,4,0
Formosa,0,0,0,0,0,0,0,0
Rikenella,5,5,12,4,1,1,27,14
Dysgonomonas,0,2,0,1,0,0,0,0
Desulfitobacterium,1,0,0,0,0,0,0,0
Oribacterium,0,0,0,1,0,0,0,0
Syntrophococcus,0,0,0,0,0,0,0,0
Ruminococcus::Clostridium,0,0,0,0,0,0,1,0
Rhodospirillum,1,0,0,0,0,0,0,0
Pedobacter,1,8,5,5,1,0,1,3
Acetivibrio,1,0,0,3,1,1,0,0
Clostridium::Eubacterium,0,0,1,0,0,0,1,0
Limibacter,0,3,1,1,1,0,0,1
Clostridium::Ruminococcus,0,0,0,0,0,0,0,0
Coprobacillus,4,0,0,2,0,0,0,2
Cytophaga,0,2,0,1,0,1,3,0
Denitrobacterium,0,4,4,1,0,2,1,1
Mycoplasma,2,0,0,0,5,0,0,1
