OTU ID	S31	S1	S42	S13_T2	S30	S50	S43	S20	S29	S47U	S26	S13_T3	S33	S8L	S23	S10R	S49	S14L	S11	S8R	S22	S38U	S47I	S37	S19	S24	S13_T1	S46	S14R	S3	S27	S44	S10L	S28	S10	S39	S9	S25	S5	S45	S48	S16	S6	S18	S12	S2	S36	S34	S17	S4	S15	S40	S38I	S32	S41	S7	S35	S21	taxonomy
0	38	36	30	14	13	18	27	38	49	7	5251	12	17	35	24	44	32	8630	37	61	17	2372	6173	4347	61	7	21	11	6894	33	63	18	38	16	17	9836	58	13819	20	14	4106	42	13056	24	32	40	5098	7924	30	25	33	25	2783226	15421	8722	8617	89	37	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;|93
1	2866	15069	42985	3292	1223	1056	3959	3021	7023	1856	7993	2571	13306	1101	34799	5429	877	19914	4994	2160	915	737	1592	1444	84037	331	3029	1318	40379	39240	9487	16626	12933	1139	4071	1090	4616	2560	4662	5556	1742	25304	22894	6945	5085	2894	775	1769	10967	1369	2446	46061	934	2379	16114	9108	18816	15848	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;|77
2	437	9831	4628	4231	4473	718	3843	441	4311	2496	5672	4940	4112	4830	3888	7769	2609	4288	6029	7024	4999	1914	1820	2023	6759	2021	6152	3066	4167	7094	6954	3613	4172	3060	8065	3718	10302	6077	4980	2563	1767	4706	7271	3535	5759	8967	1276	4889	5463	7145	3405	2947	2462	2861	4483	8614	1329	5475	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;|92
3	3356	7407	5355	62	121	14	3616	6184	334	108	31	30	13	56	703	69	1048	35	6631	46	188	27	39	37	55956	38	31	54	107	26	236	30	9049	119	79	156	11523	280	307	139	94	269	132	1873	153	84	224	191	374	181	36	50	219	50952	363	62	42	307	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;|98
4	12	478	16	342	23	8	18	97	390	126	4	271	53	7	84979	159	250	6	106	23	134	54	30	12	1420	168	65	302	8	182	226	105	84	49	132	101	1138	322	318	125	35	132	298	1171	58	7305	2396	228	12	515	6	98	25	83	299	161	156	370	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella;|75
5	145	238	234	3	56	1	109	156	374	28	0	45	0	1	205	9	1	1	221	1	3	4	1	2	77675	1	3	17	4	2	205	0	273	0	2	26	378	391	2	1	0	1	202	1	2	5	0	1	4	0	0	0	3	447	2	23	0	289	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;|88
6	43	1368	14491	282	3	3	135	39	225	85	1	215	909	338	29407	67	61	215	90	116	36	60	103	3	421	111	23	346	7	46	83	97	155	4	68	8	3925	130	914	12	6	100	928	13	7189	76	401	55	125	519	280	12	26	151	19	164	196	231	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;|86
7	0	25	2	1	0	1	0	0	1	0	77	0	0	38	0	330	0	149	1	125	1	12	101	80	1	1	0	0	111	7	2	0	58	1	6	3	283	163	3	22	56	2	49254	0	3	146	1	0	0	96	128	2	203	0	3	3126	175	0	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;|96
8	20	306	357	188	123	20	73	39	140	142	154	256	150	234	20753	56	155	70	220	391	153	64	92	52	331	107	24	9319	184	137	309	239	126	38	251	63	8564	179	449	105	52	230	206	105	367	204	565	106	251	671	126	61	51	175	231	63	101	219	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;|91
9	19	2821	153	51	3	5	22	288	115	665	34	100	16	52	8097	748	40	60	41	108	4	198	170	32	108	31	8	32	53	744	21	6	1057	80	481	11	4577	116	190	7	39	45	15594	356	391	85	87	41	22	146	271	34	104	102	793	1717	73	41	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;|99
10	33	91	48	64	13	0	26	41	17	3	17	1	1	4	9	2751	0	156	41	38	0	2	22	16	92	0	0	1	34	8	0	0	22959	0	1011	4	214	52	4	0	13	1	10704	10	64	64	11	1	121	30	60	8	167	299	57	37	366	3	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;|82
11	27	169	109	168	3	1	12	24	180	62	27	172	38	186	26766	10	321	7	39	130	60	51	12	3	7175	78	17	213	4	15	93	21	37	49	4	6	82	161	247	7	3	6	143	2	79	31	243	59	2	518	5	4	10	53	48	134	147	377	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;|96
12	16	323	136	161	279	35	169	22	233	122	159	297	214	154	23277	203	75	88	144	249	211	123	60	73	355	88	133	227	349	265	306	112	234	90	357	168	489	114	248	158	74	281	79	203	219	452	471	179	85	301	75	161	50	89	134	242	134	321	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;|98
13	21	475	520	574	207	49	260	98	357	181	433	208	154	608	573	364	190	273	457	417	385	149	204	222	539	188	289	9398	298	611	484	397	406	282	541	299	839	259	1142	319	198	562	707	199	118	822	438	453	268	561	292	401	241	203	429	949	89	315	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;unclassified;|98
14	79	1290	781	557	703	119	425	86	607	243	653	665	547	739	513	1350	368	557	875	506	841	303	254	252	913	279	653	316	448	1151	800	416	628	439	1202	234	1427	683	528	431	164	572	980	730	718	1346	79	461	663	905	430	484	194	191	577	917	223	705	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;|90
15	40	3795	617	33	123	28	102	281	82	40	21	36	53	1814	2624	439	177	122	30	718	279	137	78	55	243	54	37	137	89	844	25	612	765	188	670	43	2118	125	661	379	139	114	506	275	91	577	75	272	104	741	54	145	71	58	440	6992	18	518	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;|86
16	30	532	727	408	617	83	554	41	652	340	751	678	404	527	335	588	344	562	720	1365	570	221	276	281	554	112	687	372	330	502	876	431	742	159	1132	366	1180	381	235	332	174	419	757	503	1075	1677	64	478	432	298	372	481	113	155	192	505	104	1068	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;unclassified;|100
17	12	186	867	7	5	5	8	4	18	5	27	8	4	888	18	124	17	72	12	1371	48	7	109	53	18	5	5	12	71	47	26	5	627	5	1213	15	676	251	534	2	35	9	18001	9	4	306	14	6	15	1715	13	5	124	7	18	141	20	112	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;|93
18	79	124	17544	2	14	1	128	61	47	60	18	66	95	28	49	34	47	93	89	0	2	5	314	5	216	2	3	92	3	5	1	111	98	0	28	9	153	5	1	1	16	0	1	28	8	5	10	16	21	0	0	875	20	249	3630	2	7	3	Bacteria;Firmicutes;Bacilli;Lactobacillales;unclassified;unclassified;|73
19	18	678	242	112	275	73	33	16	372	135	121	118	17	1191	332	605	169	30	265	2268	137	108	58	97	2344	13	970	98	171	911	113	282	823	223	521	264	747	27	931	132	213	151	934	87	780	426	63	349	276	1564	227	180	60	180	147	410	357	383	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;|100
20	0	2	320	4	27	1	1	1	107	0	3	0	0	0	1	109	2	2444	0	2	0	0	7	4	3	0	1	1	5	1	2	0	14	3	65	50	2	15	1	0	4	0	12	61	11	0	27	64	93	0	14	51	79	60	16560	9	0	1	Bacteria;unclassified;unclassified;unclassified;unclassified;unclassified;|83
21	102	134	18744	1	62	1	103	55	31	1	4	4	3	2	6	21	78	30	125	2	1	1	116	1	279	0	2	59	2	45	2	105	113	33	11	0	208	3	0	2	0	2	130	91	1	2	1	3	16	3	0	8	1	170	25	1	12	5	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;|91
22	29	37	372	407	10	1	17	35	42	4	122	48	7	112	12	45	6	181	31	12	9	2	21	10	6030	4	266	7	16	553	17	1294	33	90	140	25	72	58	2	1128	7	257	5301	10	56	34	11	26	10	205	2	409	39	67	2453	101	40	66	Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Finegoldia;|100
23	0	0	44	20	10	0	0	1	29	0	14	0	0	0	0	32	0	11347	2	0	0	0	22	16	0	0	0	0	22	0	0	0	78	0	11	21	2	34	0	0	11	0	32	17	36	37	16	23	69	0	19	5	86	41	5856	31	0	1	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister;|100
24	1	35	3	39	1	0	0	2	56	18	0	76	2	1	12874	4	0	3	0	3	2	0	0	0	184	27	1	77	0	1	35	3	7	0	0	1	63	66	34	1	0	27	53	2	0	889	325	15	19	56	1	13	1	1	1	1	11	32	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;unclassified;|95
25	56	269	884	7	323	8	456	21	490	19	10	11	349	14	23	362	292	35	18	27	1052	203	19	329	622	186	22	588	18	341	78	387	144	278	978	379	503	35	57	218	242	13	149	641	187	359	42	132	23	46	11	446	121	117	688	397	162	841	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;unclassified;|100
26	21	20	20	33	0	0	9	11	46	15	1	23	183	1	4324	37	1	0	22	85	2	28	0	3	57	14	2	18	1	2	14	0	21	31	0	0	7574	13	64	0	2	73	178	2	2	27	34	0	36	121	1	6	1	44	0	1	25	81	Bacteria;Firmicutes;Bacilli;Bacillales;Family_XI;Gemella;|100
27	25	245	188	338	71	33	159	9	105	145	205	220	200	194	166	428	119	162	267	324	460	150	123	87	223	98	251	170	75	291	341	115	144	252	267	137	443	275	279	122	94	183	220	191	287	565	34	318	238	240	203	219	79	54	271	223	59	112	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;|81
